,0,1,2,3,4,5,6,7,8,9
EState_VSA1,0.0022600901319366254,0.00028308372305341006,0.0003353058804171725,0.0002757468973182223,0.0006641142380091209,0.00017431347831147286,0.0,0.0,0.0007248372302360825,0.002838900321471959
EState_VSA10,0.0,0.0,0.00013209716538830772,0.0,0.0,5.178279032766588e-20,0.0,0.0,0.0,0.0
EState_VSA11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EState_VSA2,0.031169601974498154,0.0074336936210661975,0.008054996666193326,0.02124372758153299,0.0143943795656493,0.022118050757637495,0.006447825895970922,0.046143725138696405,0.021780160584976296,0.017264912328616565
EState_VSA3,0.0033534217097671826,0.0001564839238208133,0.000310532004590134,0.0006635722487597577,0.003256015148564356,0.0050388625792306485,0.0016540459067142749,0.009551995896368112,0.004772734847189561,0.002218454396465329
EState_VSA4,0.01336973416108282,0.036183929951863855,0.07540573091008963,0.08175374352827895,0.02348941391537102,0.04270408059030251,0.04580764171703065,0.017761586335881648,0.028259792871857675,0.02374375447105013
EState_VSA5,0.15305920739779072,0.06398612945897246,0.16768918514173356,0.08304185574661889,0.043193103293755926,0.12463161352292337,0.21091260787930863,0.18126015772507142,0.43750745186606127,0.11647237285748491
EState_VSA6,0.10142699255460089,0.1606183769839742,0.007414518621394983,0.058502402180338774,0.20766084167555282,0.05351895579835285,0.35859653478295167,0.13620643051887402,0.004616321886961978,0.0368540729345965
EState_VSA7,0.18792419703916613,0.04872887996646984,0.12847385656730367,0.017584315949085567,0.3162779220931788,0.11782467246783233,0.1318466427373815,0.053658886796223944,0.3071555029851291,0.03804510447557311
EState_VSA8,0.18966699216629068,0.37214440757357053,0.5107614635328153,0.14298180485715484,0.20323382370484544,0.5218142426535872,0.10865978894780544,0.09187158935931594,0.06523839712280652,0.18701463926130346
EState_VSA9,0.010896754373462067,0.002341716796345684,0.000624950039170929,0.0020938966710309435,0.005548491808341142,0.00025901227509529564,0.0014253267827079405,0.009909507352676926,0.005450485208486929,0.0017265381479298811
VSA_EState1,0.33103270508942767,0.32970761915234076,0.07264972040121058,0.16367031989226716,0.47475353649369184,0.7044673937390449,0.20971431915942118,0.16980601531081904,0.3971836453444196,0.6362146200554591
VSA_EState2,0.1455088255528371,0.04949195919984951,0.011177980788760958,0.006474181217585928,0.05315812464317641,0.19626426795334018,0.15514805229226744,0.02759290488772885,0.054902137200114526,0.053440634493437125
VSA_EState3,0.0006490843235319328,0.00018047226982374645,0.0007180888141469245,0.001150517159265743,0.0008716547314289182,0.011564329012002505,0.0015817579397941757,1.5230390673891722e-05,0.00019793212729611113,0.002044530365818604
VSA_EState4,0.7726568363493538,0.14554755443234255,0.456037776819679,0.14446449829251554,0.17522732852413703,1.615723044873873,0.18803375087281862,0.08036540047093199,0.726323353749911,0.11806880024824402
VSA_EState5,0.09147563913204582,0.1940653147220019,0.056147610842031466,0.08663916107257667,0.2719070949312759,0.22111874254851216,0.1452143220498856,0.07451611631923179,0.28956720106986655,0.3251447588497878
VSA_EState6,0.027841076210262574,0.01352281219530873,0.031162527685794566,0.06191028334666856,0.05031342365570049,0.180337829595079,0.029253643692223115,0.046768633460770655,0.056800231449265375,0.07570319811794837
VSA_EState7,0.09455829523583265,0.09022800876573786,0.050066715590605285,0.11301188001279697,0.08879749766955364,0.06599724662314528,0.11448419208425774,0.08792148338209105,0.09562071652073495,0.18129312799001313
VSA_EState8,0.18392509928617098,0.033448066961344745,0.08361347656547331,0.047725000765590206,0.28955598753816286,0.10746717044307529,0.740966867243363,0.11698071254870522,2.2796026051616365,0.044289464092366754
VSA_EState9,0.08689264126385925,0.1035443091118271,0.1766515247009891,0.055314207407286924,0.057432641380864645,0.17193345266725787,0.1616095395500723,0.07911973559868234,0.17959646493391582,0.07929294274850346
FractionCSP3,0.07203858158963065,0.12991687551848052,0.29296204165478035,0.11053723401355146,0.28279855859691555,0.5056607648700524,0.05203352234784744,0.14365547592010783,0.04419275489964989,0.34015545708432665
HeavyAtomCount,0.008786283080046704,0.010468951617431308,0.01416548940280854,0.04446905288255538,0.015483584657913323,0.02265454079105179,0.03633265773360047,0.014358427843985349,0.02942331987791256,0.03079682914856613
NHOHCount,0.000212817205316655,0.0004979489102257058,1.9094566047638156e-06,6.824635856745232e-05,0.0008888929557851144,3.6331562261966578e-06,1.135962896961873e-05,0.0002215609190887827,7.953461758225002e-05,8.300682639414114e-06
NOCount,0.014578723256919463,0.010513972592996532,0.01052092136579137,0.008393952680759445,0.01147310563155028,0.005909959159800464,0.027873169810110947,0.009984966102700806,0.011443249684561233,0.013420761778797908
NumAliphaticCarbocycles,0.004520241956003785,2.8008311451123172e-05,0.004635407717184512,0.0,0.004817481424423771,0.0007671960882336216,0.0012674665416866618,0.002763253676513112,0.006640399656935692,0.00010390796399416967
NumAliphaticHeterocycles,0.020474462418563516,0.008605217499056834,0.010209282966651155,0.020716241625539422,0.18975364017861562,0.012383980526465981,0.012643662439329392,0.0071332277399172965,0.008264781003137614,0.02796380509957267
NumAliphaticRings,0.023568260843275856,0.0074751487249629465,0.01650573602140296,0.06610280631320906,0.05098515833123476,0.015734996492973705,0.02435031783922981,0.09446408422637383,0.038174928884572544,0.0608408197276129
